Subject,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Thumb Image,Template Title,Template Summary,New Test Text,Tags,Brand,Category,Set Date,Sender,Meta Title,Meta Description
(Digistorms) HTTPS page has internal links to HTTP: 1 URL,activity-update-from-ahrefs-01082025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f452ced71f1351a46dc75,false,false,Fri Aug 15 2025 14:33:16 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:18:03 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/6862c0f6b0734b95353ba65a_a07942c5-f85f-4f0c-a8ab-ad8d3f8310e2.png,Ahrefs email 03,"This is a site audit notification email from Ahrefs summarizing the health score and key issues detected during a recent crawl of the Digistorms website. The email lists critical errors, warnings, and notices with specific examples such as internal HTTP links on HTTPS pages and missing alt text, and provides links to detailed views for deeper inspection. The tone is professional and informative, intended to alert users quickly to SEO and technical issues with clear calls to action for viewing detailed reports and managing notifications.",,activity-update,ahrefs,educate-engage,Wed Jan 08 2025 17:24:00 GMT+0000 (Coordinated Universal Time),Ahrefs Site Audit,Activity Update from Ahrefs | Educate & Engage,"Ahrefs Site Audit for Digistorms analyzed 28 URLs with a 97 health score. Highlights: 1 critical error, 28 warnings including missing alt text and slow pages."
(Step 1) Start generating more leads with your forms and landing pages,setup-prompt-from-hubspot-jonathan-your-personalized-first-30day-report-is-inside05192025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689356fe284af1cc274a4686,false,false,Wed Aug 06 2025 13:22:06 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 07:40:42 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689356fd284af1cc274a4681_38d2c5c6-45c2-4bb3-84f7-416ff385fc72.png,Hubspot email 2,"This email from HubSpot aims to encourage a new user, Jonathan, to connect their custom domain to HubSpot as the essential first step in creating a professional online presence and boosting lead generation. The email is structured with a clear call-to-action button for connecting the domain, supported by brief, benefit-focused copy explaining the advantages of domain connection. The tone is enthusiastic and supportive, designed to motivate action by highlighting growth potential and providing easy navigation to resources like the Academy and Knowledge Base.",,setup-prompt; trial-just-started,hubspot,onboard-free-user,Mon May 19 2025 09:00:00 GMT+0000 (Coordinated Universal Time),The HubSpot Team,Setup Prompt from HubSpot | Onboard Free User,"Boost your business with HubSpot by connecting your custom domain to build trust, create professional landing pages, and supercharge lead generation."
(Step 2) Convert leads into loyal customers with email marketing campaigns,feature-usage-nudge-from-hubspot-explore-additional-resources-to-unlock-your-full-potential-with-hubspot05212025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,6893573259b4aa8719cda2a8,false,false,Wed Aug 06 2025 13:22:58 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 07:40:42 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/6893573259b4aa8719cda278_3d54c97f-37c7-4043-b696-aebfb7d4dd92.png,Hubspot email 3,"This email from HubSpot aims to guide users on engaging their leads through personalized email campaigns, acting as a follow-up to earlier steps like creating lead-generating forms and landing pages. Structurally, it is segmented into actionable steps such as creating an email list, crafting the first email campaign, and accessing additional resources like user guides, the academy, and knowledge base. The tone is encouraging and supportive, with clear calls to action and links that facilitate easy navigation for users at different stages of their marketing journey.",,feature-usage-nudge; product-education,hubspot,onboard-free-user,Wed May 21 2025 09:00:00 GMT+0000 (Coordinated Universal Time),The HubSpot Team,Feature Usage Nudge from HubSpot | Onboard Free User,"Boost your sales with HubSpot's personalized email campaigns. Learn to organize email lists, segment leads, and craft impactful emails to convert leads."
(Step 3) Gain insights and improve results with website tracking and marketing reports,feature-usage-nudge-from-hubspot05232025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68935765e23c3950af4800f7,false,false,Wed Aug 06 2025 13:23:49 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 13:28:00 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68935765e23c3950af4800f2_74419719-4c0e-48ec-80e9-4d6ba35b5176.png,Hubspot email 4,"This email from HubSpot is designed to guide users through the process of installing the HubSpot tracking code to gain insights on website activity and marketing analytics. It uses a structured layout with distinct sections including a personal greeting, calls to action linking to user guides, tracking code installation instructions, and dashboard creation to streamline marketing efforts. The tone is professional and encouraging, aiming to empower users to make data-driven decisions through detailed tracking and analysis features.",,feature-usage-nudge; product-education,hubspot,onboard-free-user,Fri May 23 2025 09:00:00 GMT+0000 (Coordinated Universal Time),The HubSpot Team,Feature Usage Nudge from HubSpot | Onboard Free User 2,Install the HubSpot tracking code to gain valuable website visitor insights and marketing analytics. Explore guides and dashboards for data-driven decisions.
1 of your Zaps was paused,activity-update-from-zapier-06192024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,6895fa3cff4b6dc46a2a5e8a,false,false,Fri Aug 08 2025 13:23:08 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 11:17:24 GMT+0000 (Coordinated Universal Time),Mon Jan 19 2026 14:20:32 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/6895fa3cff4b6dc46a2a5e80_388472d7-c6d8-4503-a1a5-d9928db8689d.png,Zapier email 16,"This email from Zapier notifies the user that one of their Zaps was paused due to downgrading to the Free plan, which restricts Zaps with multiple actions. It explains the reason for the pause, provides direct links to log in, upgrade the plan, and unpause the Zap, and offers helpful resources such as help docs and community support. The layout is clear and functional, using a professional yet approachable tone to guide the user toward resolving the issue.",,activity-update,zapier,win-back-churned-user,Wed Jun 19 2024 18:10:00 GMT+0000 (Coordinated Universal Time),Zapier Alerts,Activity Update from Zapier | Win Back Churned User,Zapier informs you your multi-step Zap was paused after downgrading to Free plan. Upgrade now to restore automation and multi-step workflow.
10 hours per week per rep,feature-usage-nudge-from-apollo-needs-attention-your-email-deliverability-score-01192024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689efa8b78691782f3a16ded,false,false,Fri Aug 15 2025 09:14:51 GMT+0000 (Coordinated Universal Time),Sun Feb 08 2026 15:06:03 GMT+0000 (Coordinated Universal Time),Sun Feb 08 2026 15:25:39 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/693bedd1a3a20fc0c35d29c7_692d8009b3ef658b2a431b0e_chrome%2520extension%2520email%2520apollo.png,Apollo email 08,"This email promotes the Apollo Chrome Extension through a customer success story featuring Kickfurther, designed to illustrate the extension's tangible benefits like time savings, improved reply rates, and unified performance tracking. Structurally, it opens with a personal tone, transitions to detailed results backed by a testimonial, and concludes with a direct call-to-action link to install the extension. The tone is conversational yet persuasive, aiming to build credibility and motivate immediate adoption.",,download-chrome-extension; usage-expansion,apollo-io,onboard-free-user,Fri Jan 19 2024 08:33:00 GMT+0000 (Coordinated Universal Time),Josh from Apollo,Download Chrome Extension from Apollo | Onboard Free User 2,"Discover how Kickfurther elevated lead sourcing and sales efficiency with Apollo Chrome Extension, saving 10 hrs/week and increasing reply rates by 25%. Apollo.io"
2 key tools to maximize efficiency,feature-usage-nudge-from-monday-05172025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,687908302e83ddc3ad7da9ba,false,false,Thu Jul 17 2025 14:26:56 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 14:54:33 GMT+0000 (Coordinated Universal Time),Mon Jan 19 2026 14:20:32 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/6879082f2e83ddc3ad7da995_a1c52532-733f-4b70-b0b6-d061f7430d9c.png,Monday email 7,"This email from monday.com promotes the use of monday forms and workdocs, highlighting features like real-time collaboration and custom form building that integrates with boards and workflows. Its structure includes product descriptions, actionable buttons to open workdocs or create forms, and helpful tips for customization. The tone is informative and encouraging, aiming to increase user engagement with the platform's productivity tools while offering additional learning resources and app download links.",,feature-usage-nudge; product-education; trial-just-started,monday,onboard-free-user,Sat May 17 2025 15:38:00 GMT+0000 (Coordinated Universal Time),monday.com,Feature Usage Nudge from Monday | Onboard Free User,Explore monday.com Workdocs for real-time document collaboration & WorkForms for custom data collection syncing with your workflows. Boost team efficiency.
2x more data for your outreach,newsletter-from-hunterio-02042025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,686fa7a41377bb0a1ee57bcf,false,false,Thu Jul 10 2025 11:44:36 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 18:01:18 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686fa7a41377bb0a1ee57bb0_11d83210-3812-4e58-b2c4-1d8bcb55f2e0.png,Hunter email 12,"This is a SaaS newsletter email from Hunter that highlights recent product updates and new features focused on expanding data profiles and improving segmentation tools. The email is structured with clear sections introducing major improvements like a 90% increase in decision maker profiles, a new enrichment API, and case studies to illustrate benefits. The tone is informative and motivational, aimed at encouraging users to explore new capabilities and engage with upcoming live demos and resources for maximizing their growth efforts.",,newsletter; product-update; product-education,hunter-io,educate-engage,Tue Feb 04 2025 09:00:00 GMT+0000 (Coordinated Universal Time),Team Hunter,Newsletter from Hunter.io | Educate & Engage 5,"Hunter has added 90% more decision maker profiles, new segmentation tools, and an enrichment API to optimize your B2B growth in Q1 2025. Learn more."
3 things you can do with your photos,feature-usage-nudge-from-dropbox-05032025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,6894b1567f628af9e5da2ca1,false,false,Thu Aug 07 2025 13:59:50 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 17:11:16 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 18:37:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/6894b1567f628af9e5da2c9c_b7956882-d8a3-42d7-bdeb-15b5c892fbfc.png,Dropbox email 23,"This email serves as a user engagement and product education message from Dropbox, highlighting the platform's capabilities in photo uploading, backup, editing, and sharing. It is structured with a clear, informative layout featuring multiple calls to action linking to Dropbox's web, desktop, and mobile features. The tone is friendly and encouraging, aimed at helping users make the most of their Dropbox account for managing photos and creative projects efficiently.",,feature-usage-nudge; product-education,dropbox,educate-engage,Sat May 03 2025 09:46:00 GMT+0000 (Coordinated Universal Time),Dropbox,Feature Usage Nudge from Dropbox | Educate & Engage 6,"Dropbox lets you upload, backup, edit photos and videos seamlessly across devices. Store special moments and collaborate with ease. Dropbox brand."
3 tricks to get more value from Lovable,product-education-from-lovable-07052025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f6cb8ace02f444b53ec49,false,false,Fri Aug 15 2025 17:22:00 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:18:04 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f6cb7ace02f444b53ec32_3af185ad-5765-4045-aa16-8445824e56a1.png,Lovable email 03,"This email from Lovable introduces advanced features designed to enhance user experience, such as Chat Mode, Select, and Image Upload, each explained with brief descriptions and supported by animated GIFs. The structure is clear and visually engaging, with direct calls-to-action prompting users to watch a tutorial video and start building immediately. The tone is encouraging and supportive, aiming to motivate users to leverage powerful tools for better results in their product development.",,product-education; feature-usage-nudge,lovable,onboard-free-user,Sat Jul 05 2025 09:40:00 GMT+0000 (Coordinated Universal Time),Lovable,Product Education from Lovable | Onboard Free User,"Discover powerful features of Lovable like Chat Mode, Select, and Image Upload to build better apps with precision. Watch tutorials and start now!"
5 tips for using margin and padding,product-education-from-webflow-11122023,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b16450490c8c79aee7822b,false,false,Fri Aug 29 2025 08:26:56 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:17:21 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b16450490c8c79aee78226_6cd461e3-4370-4232-af30-202e3b70e8b0.png,Webflow email 05,"This email from Webflow serves as an educational and promotional message aimed at helping users improve their web design skills using margin and padding effectively. It is structured with a clear, step-by-step tutorial format, enhanced by relevant images and multiple call-to-action links that direct users to more detailed tutorials, resources, and the Webflow platform itself. The tone is friendly, encouraging, and professional, designed to engage users by providing useful tips alongside opportunities to explore further learning and community inspiration.",,product-education; feature-usage-nudge,webflow,onboard-free-user,Sun Nov 12 2023 11:35:00 GMT+0000 (Coordinated Universal Time),Webflow,Product Education from Webflow | Onboard Free User,"Learn how to master margin and padding with Webflow's expert tips to simplify spacing and create clean, responsive web layouts effortlessly."
6 display settings you should know,product-education-from-webflow-11112023,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b164250a6f56cff26900b1,false,false,Fri Aug 29 2025 08:26:13 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 16:05:19 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b164250a6f56cff269005f_b1134db0-9881-4fdb-a96f-8637f32fcaf6.png,Webflow email 04,"This is an educational promotional email from Webflow that explains the six different CSS display settings (block, flexbox, grid, inline block, inline, and display none) used for customizing web layouts. The email uses a structured format with descriptive headers and brief explanations, supported by images and multiple call-to-action links directing users to learn more or start building their sites. The tone is friendly, encouraging, and instructional, aimed at empowering users to explore and master their site design with Webflow tools.",,product-education; feature-usage-nudge,webflow,onboard-free-user,Sat Nov 11 2023 11:34:00 GMT+0000 (Coordinated Universal Time),Webflow,Product Education from Webflow | Onboard Free User 2,"Explore Webflow's email explaining the six CSS display settings: block, flexbox, grid, inline block, inline, and display none to customize site layouts efficiently."
7 days left before your subscription ends,reengage-cancelled-users-from-freepik-06012025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b1596a474a98171cb7efdc,false,false,Fri Aug 29 2025 07:40:26 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:17:19 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b15969474a98171cb7ef94_35276341-dafa-4bab-9a71-60de52cd2a14.png,Freepik email 27,"This email is a subscription renewal reminder targeting users whose subscriptions are about to expire. It clearly outlines the benefits of renewing, including monthly credits, a smooth creative experience, and access to premium templates. The email uses a direct and encouraging tone, enhanced by vibrant images and multiple calls to action, including a renewal link and social media follow options for community engagement.",,re-engage-cancelled-users; usage-expansion,freepik,win-back-churned-user,Sun Jun 01 2025 09:30:00 GMT+0000 (Coordinated Universal Time),Freepik team,Re-engage Cancelled Users from Freepik | Win Back Churned User,"Renew your Freepik subscription now to continue enjoying 7,000 monthly credits, premium templates, smooth creative tools, and exclusive benefits."
