Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Journey Summary,New Journey Summary,Number of emails,Logo/Icon,Duration,Date Started,Date Ended,Avg time delay,Brand Details,Email Template,Categories,Meta Title,Meta Description,Description
SemRush,semrush,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c5be58190a78c1517519,false,false,Wed May 14 2025 16:33:02 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">SEMrush delivers clean, structured onboarding emails that are highly visual without being image-heavy, using well-designed sections to guide users toward key features and educational value. Their journey blends site-based alerts, feature highlights, webinars, conferences, guides, and frequent product updates, all designed to keep users learning and returning to the platform.</p><p>‍</p><p id="""">SEMrush also stands out for its “SEMrushversary” anniversary email and for being one of the brands that requests user feedback the most, adding a unique and engaging layer to the experience.</p><p>‍</p>",,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8c6715e4175966906329_images%20(4).jpeg,,,,,,,expand-user; celebrate-milestones; onboard-free-user; announce-new-features; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"SEMrush sends structured onboarding, site alerts, webinars, guides, updates, feedback requests, and a unique annual “SEMrushversary” email.",
Ahrefs,ahrefs,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c5ce2c906e6a07b85d4b,false,false,Wed May 14 2025 16:33:18 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Ahrefs delivers a highly educational onboarding experience, using long, detailed emails packed with guides, product screenshots, YouTube videos, and even a “Getting Started” webinar to help new paid users navigate a complex SEO platform. Their ongoing communication continues this educational focus, combining site-activity updates, feature announcements, and invitations to events like their Evolve conference. This approach fits the depth of the product and ensures users can grow their skills directly from their inbox. </p><p>‍</p><p id="""">P.S. Many repetitive site-update emails were removed for relevance, so the average time delay between emails appears longer than it is in reality.</p><p>‍</p>",28,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d871f2ca571cfbc33b3e2_Ahrefs-Logo-PNG-Pic.png,About 7 months,"January 8, 2025","August 11, 2025",~8 days,,,expand-user; onboard-free-user; onboard-paid-user; celebrate-milestones; announce-new-features; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Ahrefs delivers long, education-rich onboarding with videos, guides, webinars, activity updates, and detailed product announcements for users.",
Figma,figma,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c5e136e4b7068c7fd921,false,false,Wed May 14 2025 16:33:37 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Figma’s email journey features beautifully designed, visually rich onboarding messages, each built around a consistent template that highlights product features, educational resources, and templates through clear, multi-section layouts. </p><p>‍</p><p id="""">Beyond onboarding, Figma keeps users engaged with frequent webinars, newsletters, and event promotions (including their flagship Config conference), alongside occasional product announcements. Interestingly, some emails arrived in French despite English settings, suggesting room for improvement in language personalization.</p><p>‍</p>",40,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8c93bf4fd11a0c730d2b_figma-logo-512.webp,About 1 year and 6½ months,"December 22, 2023","July 2, 2025",~14 days,,,expand-user; announce-new-features; celebrate-milestones; onboard-free-user; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Figma uses beautifully designed onboarding templates, webinars, event promos, newsletters, and feature updates with occasional language issues.",
Lucid,lucid,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c5f07844d436053a27d5,false,false,Wed May 14 2025 16:33:52 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Lucid’s email journey combines distinctive, visually strong templates with a feature-focused onboarding flow that encourages users to explore different use cases and invite their team. After onboarding, the communication becomes heavily centered on content, with frequent newsletters and webinars designed to educate and keep users engaged. </p><p>‍</p><p id="""">They also incorporate win-back prompts, expansion nudges, and feature announcements, maintaining ongoing touchpoints throughout the user lifecycle.</p><p>‍</p>",47,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d870fd3a93cbad38b0018_3865608556737_8f4ae4a98b36ab6912b3_512.png,About 4 years and 2 months,"February 16, 2024","April 30, 2028",~33 days,,,onboard-free-user; expand-user; onboard-paid-user; request-feedback; celebrate-milestones; transactional-email; announce-new-features; win-back-churned-user; educate-engage,,"Lucid sends visually distinctive onboarding, content-heavy newsletters, webinars, expansion nudges, and win-back emails for churned users.",
Apollo.io,apollo-io,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c6127d416b5654cb9e92,false,false,Wed May 14 2025 16:34:26 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:48 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Apollo’s journey stands out for its gamified onboarding, where users progress through a seven-step checklist and earn credits as they complete each action—an approach that powerfully motivates engagement and accelerates adoption. Most onboarding messages are plain-text emails, mirroring the style of real outreach and smartly reinforcing Apollo’s identity as a cold-email platform. </p><p>‍</p><p id="""">Beyond onboarding, Apollo sends activity-based alerts, educational content on successful outreach, feedback prompts, and feature nudges (like installing their Chrome extension), creating a well-rounded and strategically aligned email experience.</p><p>‍</p>",22,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d872da8954b6a4f9b6e27_Apollo-io.webp,About 11 months,"January 4, 2024","December 13, 2024",~16 days,,,announce-new-features; expand-user; onboard-free-user; celebrate-milestones; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Apollo features gamified onboarding, plain-text outreach-style emails, activity alerts, education on cold outreach, and extension-driven upgrades.",
Docusign,docusign,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c63a8b009343fce4aaf7,false,false,Wed May 14 2025 16:35:06 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">DocuSign’s email journey revolves around practical, education-focused communication, delivered mostly through plain-text messages that match the brand’s formal, legal-tech identity—though the experience could benefit from more visual elements to improve readability. Their flow includes webinars, video resources, and feature guidance to help paid users get the most out of the platform, alongside strong upgrade and win-back prompts. </p><p>‍</p><p id="""">Notably, DocuSign even uses an abandoned-cart email, a tactic uncommon in SaaS, showing how closely they track purchasing intent.</p><p>‍</p>",15,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8a74ebb6da464d8e6588_DOCU-60cafc67.png,About 3½ months,"January 5, 2024","April 22, 2024",~8 days,,,expand-user; onboard-free-user; onboard-paid-user; celebrate-milestones; announce-new-features; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"DocuSign uses plain-text education-focused emails, webinars, upgrade prompts, win-back flows, and a rare abandoned-cart email to drive conversion.",
Dropbox,dropbox,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c6494b8d5bb4a8813527,false,false,Wed May 14 2025 16:35:21 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Dropbox’s email journey features minimalistic yet polished messages, reflecting the brand’s maturity but lacking strong visual consistency due to varied color usage and a diluted sense of identity. Their communication focuses on nudging users back into the product, encouraging engagement with key features and reminding inactive users to return to their files. Alongside this, Dropbox includes expansion prompts such as inviting teammates or upgrading to a business plan, though the overall design could benefit from a modern refresh. </p><p>‍</p><p id="""">P.S. Many redundant or repetitive emails were removed, so the average time delay between emails appears longer than it is in reality.</p><p>‍</p>",19,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8a6b900aa6e83e41ce56_674000d6c0a42d41f8c331be_dropbox-2-logo-png-transparent.png,About 1 year and 4 months,"December 24, 2023","May 3, 2025",~28 days,,,celebrate-milestones; expand-user; onboard-free-user; announce-new-features; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Dropbox provides minimalistic, polished emails focused on feature nudges, inactivity reminders, team invites, and upgrading to business plans.",
Grammarly,grammarly,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c6698250b18003d7bfae,false,false,Wed May 14 2025 16:35:53 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:48 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Grammarly’s emails are clean, visually polished, and thoughtfully laid out, reflecting the maturity of the brand and creating an easy, uncluttered onboarding experience. Their communication focuses heavily on feature education and early upgrade prompts, consistently highlighting the benefits of Grammarly Premium and even offering a recurring 40% discount to encourage conversion. </p><p>‍</p><p id="""">Beyond onboarding, users receive weekly activity recaps, adding a personalized touch that reinforces ongoing value and engagement.</p><p>‍</p>",7,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d876de46d519a09900356_grammarly-1.svg,About 2 weeks,"July 30, 2025","August 14, 2025",~2½ days,,,celebrate-milestones; expand-user; onboard-free-user; announce-new-features; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Grammarly sends clean onboarding emails, strong Premium upgrade nudges, a recurring 40% offer, and weekly personalized writing activity recaps.",
Adobe,adobe,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c67bfd62b1c5fa5410f9,false,false,Wed May 14 2025 16:36:11 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Adobe’s email journey features visually striking, well-designed messages that reflect the brand’s creative identity, beginning with a concise onboarding flow that helps new paid users discover key features and get started quickly. Most emails act as feature nudges, encouraging deeper product adoption and highlighting new capabilities across the Adobe ecosystem. </p><p>‍</p><p id="""">They also include win-back messages, mobile-app prompts, and feedback requests, supported by solid activity-based triggers that keep users engaged throughout their lifecycle.</p><p>‍</p>",25,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8c38e080487d252656eb_Adobe_Acrobat_DC_logo_2020.svg.png,About 1 year and 6 months,"February 16, 2024","August 25, 2025",~23 days,,,celebrate-milestones; announce-new-features; onboard-paid-user; request-feedback; transactional-email; onboard-free-user; expand-user; win-back-churned-user; educate-engage,,"Adobe delivers visually striking onboarding, feature nudges, win-back prompts, mobile-app pushes, and new-feature announcements for paid users.",
Jira,jira,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,68349ed24b68924c96a25178,false,false,Mon May 26 2025 17:03:14 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Jira’s email journey is minimalistic and text-forward, relying on straightforward plain-text messages rather than the visual layouts common in other tools. Their communication consists of a small, simple onboarding sequence, followed by a few targeted prompts aimed at winning back users who haven’t upgraded. </p><p>‍</p><p id="""">While effective in its directness, the overall approach feels notably sparse compared to other brands.</p><p>‍</p>",11,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8a50c097b7292da94930_images%20(1).jpeg,About 2 months and 3 weeks,"May 18, 2025","August 12, 2025",~9 days,,,announce-new-features; celebrate-milestones; expand-user; onboard-free-user; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Jira uses minimalistic, text-heavy emails with a short onboarding flow and simple win-back prompts to re-engage inactive or churned users.",
SurveyMonkey,surveymonkey,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,68399e3e826942f0a9267257,false,false,Fri May 30 2025 12:02:06 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">SurveyMonkey’s email journey features clean, polished onboarding emails that guide users toward key features and prompt them to take meaningful actions within the product. They complement this with a monthly content-driven newsletter that shares articles, research, and upcoming webinars to keep users engaged. </p><p>‍</p><p id="""">A few activity-based nudges—like reminders to finish an unfinished survey—help maintain momentum and encourage continued usage.</p><p>‍</p>",11,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8a459b50ba8a41d9982e_unnamed.png,About 2 months,"May 12, 2025","July 15, 2025",~6 days,,,announce-new-features; celebrate-milestones; expand-user; onboard-free-user; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"SurveyMonkey offers polished onboarding, monthly content newsletters, and activity nudges that help users explore and complete their surveys.",
